Parent Category Name	Category Name 	Link	Employee Company	Title	Roles	Requirements	Additional Info	Location	Level	Type	Min Salary	Max Salary	Address	Phone	Fax	Ad Added Date
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_eec_h5ner2	Блю Рок Сервис ХХК	Захиалгын ажилтан	Зочид буудал, хоол үйдвэрлэл, үйлчилгээ, хурал сургалтын танхимын борлуулалтыг нэмэгдүүлэх, захиалга авах Зочлох үйлчилгээний стандартын дагуу үйлчлэх, захиалагчийг мэдээллээр хангах, захиалагчаас захиалагчаас мэдээллийг авах. Захиалгын хуудас, үнийн санал боловсруулж бэлтгэх Захиалгын дагуу арга хэмжээг зохион байгуулах. Байгууллагуудтай захиалгын гэрээ хийх. Захиалгын дагуу холбогдох нэгжүүдийн уялдаа холбоог хангаж ажиилах	Их дээд сургуулийг зочлох үйлчилгээ, санхүү, бизнесийн удирдлагаар бакалавр түүнээс дээш цолтой, эсвэл зочлох үйлчилгээний мэргэжлийн сургалтын мэргэжлийн үнэмлэх, мэргэшсэн зэрэгтэй 1 түүнээс дээш жилийн туршлагатай Англи хэл ахисан дунд шатнаас дээш мэдлэгтэй Хувийн зохион байгуулалт, цагийн менежмент сайтай Багаар ажиллах чадвартай Тооцооллон бодон чадвартай Бичгийн болон харилцааны өндөр соёлтой Тууштай ажиллах, өсөх тэмүүлэлтэй, санаачилгатай	Оффист ажиллана	Улаанбаатар хот, Сүхбаатар дүүрэг	Мэргэжилтэн	Бүтэн цагийн	1,200,000	1,500,000	Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1-р хороо, Соёл амралтын хүрээлэн, П.Гэндэнгийн гудамж-16, Цэнтрал оффис 4 давхарт	88889233	None	2022-03-10 12:53
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_6tt9pvzc86	Брэнд Нью Хотелс ХХК	Зочид буудлын менежер	Хариуцсан салбарын үйл ажиллагааг хэвийн, тасралтгүй явуулах	*Мэргэжлээрээ 1-с дээш жил ажилласан туршлагатай *Үйлчилгээний стандартыг хэрэгжүүлэх, хяналт тавих чадвартай *Удирдан зохион байгуулах чадвартай *Хамтач, нийтэч зан чанартай	Зочид буудлын 2-3 салбарыг хариуцаж ажиллана. Ажлын цаг 11:00-20:00 *Үндсэн цалин +урамшуулал цалин	Улаанбаатар хот, Баянгол дүүрэг	Дунд шатны удирдлага	Бүтэн цагийн	1,000,000	1,200,000	Монгол улс, Улаанбаатар хот, Баянгол дүүрэг, 18-р хороо, Дамдинбазарын гудамж, Модны 2 дундын зам Амуре зочид буудал	77095335, 88597176, 99613611	None	2022-03-07 11:46
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_1l3jiqlxvh	Тэрэлж Сүйх ХХК	РЕСТОРАНЫ МЕНЕЖЕР	Ажлын байрны тодорхойлолтонд заагдсан чиг үүргүүдийг хийж гүйцэтгэнэ.	- Их дээд сургуулийг зочид буудал болон гадаад харилцааны ажилтан менежмент, маркетингийн чиглэлээр дүүргэсэн, бакалавр болон түүнээс дээш зэрэгтэй - Зочид буудал, үйлчилгээний салбарын мэдлэг, ажлын дадлага туршлагатай - Хувийн зохион байгуулалт, цагийн менежмент, харилцааны болон хувийн соёл сайтай - Үнэнч шударга, тогтвор суурьшилтай ажиллах - Компьютерийн хэрэглээний програмуудыг бүрэн эзэмшсэн - Тэрэлжид байрлан ажиллах боломжтой -Англи хэлний ярианы болон бичгийн өндөр чадвартай - Гадаадад ажиллаж амьдарч байсан бол сайн	Таныг Монголын хамгийн анхны тансаг таван одтой Тэрэлж Зочид Буудалд гадаад дотоодын чадварлаг мэргэжилтэнүүд, эвсэг хамт олонтой хамтран ажиллах ховор боломж хүлээж байна	Улаанбаатар хот	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000	1,800,000	Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Анкет авах хаяг: Монгол ТВ Таур, Монгол Телевизийн байрны ресепшн	99007214, 99012261	None	2022-03-21 14:50
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_cggdr6vpfh	Кемпински Хаан Палас	Financial Controller (Director of Finance)	MAIN RESPONSIBILITIES Responsible for following and understanding all Kempinski Policies & Procedures. Responsible for behaving in a professional and harmonious manner and following the Kempinski code of conduct. Responsible for understanding and following the terms of the Management Agreement. Responsible for supporting, mentoring and developing the finance staff. Responsible for supporting and encouraging training of all staff in financial matters. Responsible for developing the annual business plan together with the General Manager and Executive Committee. Responsible for conducting monthly P&L meetings. Responsible for monitoring and controlling all revenues and expenses and making the corresponding recommendations when needed. Responsible for reviewing the cash position of the hotel in order to optimize the use of funds. Responsible for preparing and submitting the quarterly self assessment report. Responsible for preparing and submitting an accurate monthly forecast. Responsible for reviewing and signing the Balance Sheet reconciliations monthly. Responsible for ensuring the preparation of the accurate and timely monthly financial report. Responsible for being the contact for the auditors and act upon recommendations in the audit report. Responsible for continuously searching for new business opportunities to benefit the hotel. Responsible for the control environment within the hotel. Responsible for keeping and safeguarding all contracts, lease agreements, licenses, insurance policies and all legal and financial documents. Responsible for maintaining good relationships with the hotel owners/representatives as well as external partners. Responsible for communicating with the General Manager on any discrepancies or other potential problems.	LANGUAGE: Local language – excellent oral and written skills English – excellent oral and written skills COMPETENCIES: Ability to work independently, thrive under pressure and/or challenging circumstances and come up with proactive, rational solutions Excellent written and verbal communication skills Ability to establish and retain effective working relationships with hotel staff and clients/vendors Ability to identify and delegate tasks effectively Excellent organizational and time management skills Applies a professional, confidential and ethical approach at all times Works in a safe, prudent and organized manner TECHNICAL COMPETENCIES: Ability to operate computer and office equipment Strong affinity for Information Technology Proficiency in Excel and Word Experience in respective accounting software is a plus Knowledge of the generally accepted accounting principles, PCI DSS and local regulations and taxation In-depth knowledge of modern and complex principles and practices of hotel accounting and operations Experience in reporting, forecasting and budgeting	None	Улаанбаатар хот	Дээд шатны удирдлага	Бүтэн цагийн	2,500,000	3,000,000	Монгол улс, Улаанбаатар хот, Баянзүрх дүүрэг, УБ хот, Энхтайваны Өргөн Чөлөө, Баянзүрх Дүүрэг, 4-р хороо, Зүүн 4 зам, Кемпински Зочид Буудал Хаан Палас.	11463463, 94092324, 99134598	11463462	2022-03-18 10:03
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_hxrftv8_4p	Наран Трейд ХХК	ӨРӨӨ ҮЙЛЧИЛГЭЭНИЙ ЗОХИОН БАЙГУУЛАГЧ	Орон сууцны цэвэрлэгээ үйлчилгээ, аж ахуй, бүрэн бүтэн байдлыг хариуцан ажиллахад хяналт тавьж Үйлчилгээний ажилтнуудыг удирдлагаар ханган ажиллана.	Удирдан зохион байгуулах чадвартай Тооллого тооцоолол хийх чадвартай 4 болон 5 одтой зочид буудалд өрөө үйлчилгээний зохион байгуулагчаар ажиллаж байсан туршилгатай бол давуу тал болно 10 аас дээш хүн удирдаж байсан. Англи хэлний дунд төвшиний мэдлэгтэй Багаар ажиллах чадвартай, эерэг хандлагатай	Байгууллагын гадна, дотор цэвэрлэгээ болон үйлчилгээний бүхий л ажлыг гүйцэтгэдэг ажилтнуудын өдөр тутмын үйл ажиллагааг бүхэлд нь удирдаж ажиллана. Өрөө, албан байрны цэвэрлэгээ үйлчилгээний ажилтнуудын ажил үүргийн хуваарийг нарийвчлан гаргаж, стандартын дагуу ажил үүргээ явуулж байгаа эсэхэд хяналт тавьж, шаардлагатай үед цэвэрлэгээний ажилд хүн хүчээр туслалцаа үзүүлнэ. Цэвэрлэгээ үйлчилгээний чанар болон тоног төхөөрөмжийн ажиллагааны тухай санал гомдлыг шалгаж, засаж, залруулах арга хэмжээ шуурхай авна. Үйлчилгээг тогтмол, тогтоосон хугацаанд нь хүргэх зорилгоор бусад нэгжүүдтэй уялдаатай ажиллана. Үйлчилгээний ажилтнуудыг цэвэрлэгээний материал, багаж хэрэгсэл, тоног төхөөрөмжөөр хангана. Уг тоног төхөөрөмжийг хэрхэн ажиллуулах дүрэм горим, ажлын дэг журмыг боловсруулж өгнө. Ажил болон захиалгын хуваарь гаргаж, ажиллах хүч, материалын хэрэгцээг зөв хуваарилж зохицуулна.	Улаанбаатар хот, Баянзүрх дүүрэг	Дунд шатны удирдлага	Бүтэн цагийн	1,000,000	1,200,000	Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, "Наран Трейд"ХХК Сүхбаатар дүүрэг 5-р хороолол, Сөүлийн гудамж 42/1, “Наран Билдинг” Улаанбаатар-44, Монгол улс 14250	75057555 /2/	None	2022-03-18 19:10
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_mzleiva29z	Шаргалжуут рашаан сувилал ХХК	Өрөө үйлчилгээний менежер	Гүйцэтгэх үүрэг -Зочид буудлын бүх шатны цэвэрлэгээ үйлчилгээний стандартын боловсруулах -Хүчин чадалд нийцүүлэн албаны бүтэц зохион байгуулалтыг гаргах -Сар бүр ажиллах хүчний хуваарилалтыг хийж, ажлын чиг үүргээр хангах -Цэвэрлэгээ үйлчилгээний стандартын хэрэгжилтийг хангуулан, тогтмол хяналт тавих -Ашиглагдах тоног төхөөрөмж, багаж хэрэгслийн ашиглалтад хяналт тавьж, зохистой хуваарилалтыг хийх -Өрөө үйлчилгээний бүрэн бүтэн байдалд хяналт тавьж, шаардлагатай засвар үйлчилгээ, бараа материалын захиалга өгөх -Ажилчдын ур чадварыг хөгжүүлэхэд шаардлагатай сургалт хөгжлийн зохион байгуулах -Сар бүрийн ажлын тайлан боловсруулах	Тавигдах шаардлага -Зочин буудлын менежментийн чиглэлээр сургууль болон мэргэжил сургалт үйлдвэрийн төв төгссөн байх -Зочлох үйлчилгээний чиглэлээр 2 ба түүнээс дээш жил ажилласан байх -Цэвэрлэгээ үйлчилгээний стандарт дүрэм журмын талаар мэддэг байх -Багаар ажиллах ур чадвар сайтай -Харилцааны бүх түвшинд ажиллах чадвартай -Бусдыг идэвхжүүлэх, сургаж хөгжүүлэх ур чадвартай	-Гүйцэтгэлээр +30% урамшуулалтай.	Баянхонгор аймаг	Дунд шатны удирдлага	Ээлжийн	1,500,000	1,800,000	Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, ОХУ-ын ЭСЯ-ны урд, TWIN TOWER-2, 8 давхар.	77437777	None	2022-02-25 17:52
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_d+d7r+lc7o	Бэст Вестерн Премьер Туушин Зочид Буудал	Ресторан, лоунжийн менежер	Зочид буудал, рестораны менежментэд суралцсан байх Сургалт зохион байгуулах, удирдан зохион байгуулах чадвар, туршлагатай Зочид буудлын дэргэдэх ресторанд ажиллаж байсан бол давуу тал болно	- Зочид буудал, зоогийн газрын менежмент чиглэлээр их, дээд сургууль төгссөн - Англи хэлний бичгийн болон ярианы мэдлэгтэй - Үйлчилгээний стандартын талаар өргөн мэдлэгтэй - 30-аас дээш настай - Мэргэжлээрээ ажиллаж байсан туршлагатай - Хамт олныг удирдан манлайлах чадвартай - Компьютерийн хэрэглээний програмууд дээр ажиллах чадвартай- Хувийн зохион байгуулалттай- Харилцааны өндөр ур чадвартай - Өөрийгөө хөгжүүлэх, өсөж дэвших чин эрмэлзэлтэй	None	Улаанбаатар хот, Сүхбаатар дүүрэг	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000	1,500,000	Монгол улс, Улаанбаатар хот, СБД -2 р хороо Ерөнхий сайд Амарын гудамж өөрийн байр	70009913	None	2022-03-16 13:43
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_jln50wt02t	Новотел Улаанбаатар Зочид Буудал	Event manager	Responsible in achieving Catering and Banquet sales objectives and revenue goals within areas of responsibility Finalizing all details relating to catering functions from concept stage until final billing To ensure delivery of the highest standards of service and coordinates all other details with relevant departments Communicating all function details by way of event order, maintaining a follow-up system to ensure repeat clients	University Degree in related subjects preferred 2+ year experience in similar capacity with international chain hotels Excellent written and spoken English and other languages Good interpersonal & communication skills Must have positive attitude and teamplayer	None	Улаанбаатар хот	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000	1,500,000	Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Novotel Hotel Ulaanbaatar	7010-1188, 7010-5566	N/A	2022-02-24 10:05
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_ca9plavrzt	Блюскай Эйжиа ХХК	Хүлээн авалтын зохион байгуулагч	1. Бүх төрлийн хүлээн авалтыг удирдан зохион байгуулах 2. Дуудлагын ажилтнуудын сургах, чиглүүлэх, удирдлагаар хангах, үнэлэх 3. Гарсан асуудлыг шийдвэрлэх 4. Захиалгын менежер, дууны техникч, захиалагч талын зохион байгуулагч нартай уялдаа холбоотой ажиллах 5. Мэргэжлээрээ ажиллаж байсан туршлагатай	Англи хэлний ярианы чадвартай. Ажлын ачаалал даах Ажлын уртасгасан цагаар ажиллах боломжтой Туршлагатай Удирдан зохион байгуулах чадвартай. Хамт олон ч найрсаг Харицааны соёлтой	Хүлээн авалт хариуцан ажиллаж байсан бол давуу тал болно.	Улаанбаатар хот	Дунд шатны удирдлага	Бүтэн цагийн	1,000,000	1,200,000	Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Located within Ulaanbaatar’s leading shopping and business areas, The Blue Sky Hotel & Tower is Mongolia’s finest new luxury hotel. Opened in 2011, The Blue Sky Hotel & Tower welcomes guests into a sl	70100440	70100440	2022-03-21 14:05
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_yx5qee94cs	Кемпински Хаан Палас	Зочны менежер /Герман хэлтэй/	Communication of hotel & company philosophy and internal hotel representation. Have an in-depth knowledge of the hotel and the geographical layout of the city / surroundings. Knowledgeable about all VIPs in-house, hotel functions and special events. Welcome, facilitate and bid farewell to as many guests as possible. Top VIPs MUST be welcomed upon arrival, escorted to their room and bid farewell upon departure. Welcome visitors to the hotel, assist with general information, internal promotions and directions. Handle guest complaints and requests in a polite and efficient manner, give further instructions to the relevant staff if needed to ensure optimal guest satisfaction. Maintain a record of all complaints and requests, follow up and inform concerned operating departments. Walkoughout the hotel recognizing guests and engage with them appropriately. Provide information to all guests regarding the services and possible internal promotions of the hotel.	EXPERIENCE: Minimum of 2 years experience in Guest Relation. LAUNGUAGE: Local language – excellent oral and written skills (as applicable) German – excellent oral and written skills English- Spekaing level COMPENTENCIES: Supervisory skills Good Communication skills Knowledge of hotel operations & Computer systems General knowledge of tourist and business related information Knowledge of hotel products and services Knowledge of VIP welcoming protocol TECHNICAL COMPETENCIES: Proficiency in Microsoft Office (Word, Excel and PowerPoint) Advanced knowledge of Opera Basic knowledge of Micros	Send CV to	Улаанбаатар хот	Мэргэжилтэн	Бүтэн цагийн	1,000,000	1,200,000	Монгол улс, Улаанбаатар хот, Баянзүрх дүүрэг, УБ хот, Энхтайваны Өргөн Чөлөө, Баянзүрх Дүүрэг, 4-р хороо, Зүүн 4 зам, Кемпински Зочид Буудал Хаан Палас.	11463463, 94092324, 99134598	11463462	2022-03-15 14:57
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_1z9-8lgz9k	Эрдэнэт хивс ХХК	Зочид буудлын менежер-Эрдэнэт хотод	-Зочид буудлын барилгын засварын ажлын гүйцэтгэлд хяналт тавьж, төлөвлөсөн хугацаанд зочид буудлыг ашиглалтанд оруулах -Өндөр зэрэглэлийн зочид буудлын стандартыг нэврүүлэх, үйл ажиллагааг эхлүүлэхэд шаардлагатай бүх зохион байгуулалтыг хийх -Зочид буудлын хүний нөөцийн төлөвлөлтийг хийж, буудлын үйл ажиллагааг төлөвлөсөн хугацаанд амжилттай эхлүүлэх, үйл ажиллагааг цаашид жигдрүүлэн, удирдлагаар хангах	-Зочид буудал, бизнесийн удирдлага, менежментийн чиглэлээр 3-с дээш жил ажилласан туршлагатай -Эрдэнэт хотод ажиллаж, амьдрах боломжтой -Англи хэлний зохих мэдлэгтэй -Удирдан зохион байгуулах ур чадвартай -Идэвх санаачилгатай	-Шинээр нээгдэхээр төлөвлөж буй өндөр зэрэглэлийн зочид буудлын үйл ажиллагааг хамтран эхлүүлж, жигдрүүлэх баг хамт олны нэг гишүүн болж ажиллахыг урьж байна.	Орхон аймаг	Дунд шатны удирдлага	Бүтэн цагийн	2,100,000	2,500,000	Монгол улс, Орхон аймаг, Орхон аймаг, Баян-Өндөр сум, Баянцагаан баг, Эрдэнэт хивс компанийн байр	70350111, 94099972	None	2022-03-06 16:10
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_jp3wre8--8	Кемпински Хаан Палас	Reservations Agent	MAIN RESPONSIBILITIES Review daily reservation accuracy, rate compliance from segment and source, system close-out when necessary and rate availability.Ensure clients’ satisfaction and adherence to Kempinski service standards.Follow internal credit policy.Follow up on lost business and bring information about them to the knowledge of the department superiors.Spot-check reservations made the previous day and check all VIP arrivals.Follow the internal up-sell programme for Reservations department.Perform any other duties as assigned to them by management.	EDUCATION: Equivalent of high school diplomaProfessional Certification (Bachelor, University Degree, Hotel School Diploma) EXPERIENCE: To fill the position, the following is required: Opera central systems knowledgeKnowledge of either Fidelio V6 or Opera PMS is imperative LANGUAGE: Ability to work and communicate in a multinational environment: English – excellent oral and written skillsAdditional language - beneficial	INDIVIDUAL CHARACTERISTICS: To fill this position the candidate must identify with the Kempinski core values, in addition they should be especially: People OrientedPassionate for European luxuryEntrepreneurialStraightforwardResults DrivenProactiveCompetitive	Улаанбаатар хот	Мэргэжилтэн	Бүтэн цагийн	800,000	1,000,000	Монгол улс, Улаанбаатар хот, Баянзүрх дүүрэг, УБ хот, Энхтайваны Өргөн Чөлөө, Баянзүрх Дүүрэг, 4-р хороо, Зүүн 4 зам, Кемпински Зочид Буудал Хаан Палас.	11463463, 94092324, 99134598	11463462	2022-02-23 09:48
Аялал жуулчлал, зочид буудал	Зочид буудлын менежмент	https://www.zangia.mn/job/_2vh4syn61h	Кемпински Хаан Палас	Ресторан хариуцсан менежер	Кемпински зочид буудлын тогтоосон бизнес, төсөв болон маркетингийн ажиллагааны дагуу рестораныг үр ашигтай удирдан зохион байгуулах; Өөрийн хариуцан ажиллаж буй рестораны хоолны цэсийг шинэчлэн сайжруулахын тулд шаардлагатай зах зээлийн судалгаа, өрсөлдөгчийн судалгааг хийж, судалгаан дээр тулгуурлан хоолны цэсийг шинэчлэн сайжруулахад оролцох; Үйлчлүүлэгч, зочид, харилцагч, ажилтнуудаас ирсэн асуудал гомдлыг шийдвэрлэх; Ажилчдын хуваарийг зохиуцуулж, ажилтнуудаа удирдан зохион байгуулах;	Англи хэлний ярианы болон бичгийн чадвартай; Хоол ундааны салбарт менежементийн түвшинд ажиллаж байсан туршлагатай; Менежементийн чиглэлээр их дээд сургууль төгссөн;	Сурч хөгжих дэлхийн жишиг сургалтын хөтөлбөр; Найрсаг хамт олон; Өсөн дэвших өргөн боломж бүхэн нээлттэй байна.	Улаанбаатар хот	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000	1,500,000	Монгол улс, Улаанбаатар хот, Баянзүрх дүүрэг, УБ хот, Энхтайваны Өргөн Чөлөө, Баянзүрх Дүүрэг, 4-р хороо, Зүүн 4 зам, Кемпински Зочид Буудал Хаан Палас.	11463463, 94092324, 99134598	11463462	2022-02-23 09:39
